Dong_name,code_dong,return_day,rent_day,rental_stop,large_store,company,hospital,restaurant,park,cafe,house,bank,car,school,bus_stop,bus_geton_people,bus_getoff_people,subway_station,subway_geton_people,subway_getoff_people,M_child,M_teenager,M_20,M_30,M_40,M_50,M_60,M_over70,W_child,W_teenager,W_20,W_30,W_40,W_50,W_60,W_over70,M_sum,W_sum
암사3동,11740590,49.06,48.68,5,6.0,576.0,32.0,136.0,0.0,13.0,5583.0,0.0,44487.0,3.0,11,331.42545454545456,221.3018181818182,0.0,0.0,0.0,24365.31,23358.82,16831.76,21749.66,31078.3,22442.02,18393.92,14347.83,22008.88,19295.96,18168.7,28572.88,32990.67,27337.35,22687.09,21965.19,172567.62,193026.71999999997
압구정동,11680545,30.35,31.39,7,20.0,3919.0,403.0,523.0,1.0,147.0,8856.0,26.0,85240.0,5.0,20,952.9615,865.4485000000001,2.0,19742.21,21065.675,33033.12,43832.5,60569.08,84040.34,95921.33,70046.01,39307.68,35242.27,36146.96,50687.45,99644.81,102809.08,95125.45,61236.68,47511.84,56884.78,461992.32999999996,550047.05
약수동,11140635,19.39,20.87,4,9.0,833.0,51.0,101.0,0.0,15.0,6584.0,2.0,33768.0,0.0,11,291.1736363636364,276.9427272727272,1.0,1501.74,1571.9,15027.51,11182.18,19249.62,27246.94,29884.5,25832.69,20579.03,22150.24,11856.85,10322.66,24733.44,35543.22,29779.86,28157.57,28576.77,35511.53,171152.71000000002,204481.90000000002
양재1동,11650651,22.06,23.48,18,1.0,3616.0,70.0,1246.0,1.0,99.0,14561.0,11.0,149256.0,5.0,76,392.5230263157897,363.0040789473685,2.0,14313.21,15464.015,62559.85,46507.27,68866.58,115702.17,130506.69,83894.58,54659.7,39162.38,58615.42,46623.0,79837.37,105995.03,104454.17,77558.45,68701.82,66673.0,601859.22,608458.26
양재2동,11650652,25.94,26.81,15,0.0,4989.0,28.0,1282.0,2.0,104.0,6842.0,15.0,98221.0,3.0,48,237.32062499999995,289.1110416666667,0.0,0.0,0.0,22506.19,22362.79,56838.57,107752.11,107092.92,76797.62,44632.61,25415.45,24812.77,25939.29,60677.15,85792.34,71677.44,62678.54,46183.63,35330.89,463398.25999999995,413092.05
양평1동,11560610,66.71,65.39,8,12.0,3068.0,26.0,571.0,0.0,36.0,4229.0,3.0,71452.0,2.0,22,219.46772727272727,207.56045454545452,1.0,5562.1,5507.13,16852.77,15252.25,29923.85,53399.57,45592.81,30783.25,18153.55,16081.18,15930.85,13186.85,40498.1,55772.0,37872.09,29866.24,21462.62,24063.01,226039.22999999998,238651.76
양평2동,11560620,84.61,82.23,6,0.0,2182.0,22.0,737.0,1.0,51.0,7115.0,5.0,82630.0,5.0,29,289.38206896551725,284.4031034482759,1.0,6200.84,6026.42,23349.67,25723.87,48336.63,85354.43,71446.45,53591.89,30109.93,19188.02,17775.43,21434.78,62741.26,78852.49,55137.47,44856.03,31421.43,26709.0,357100.88999999996,338927.89
여의동,11560540,56.9,57.13,41,8.0,8132.0,162.0,3107.0,2.0,177.0,10202.0,67.0,174084.0,6.0,49,730.6065306122448,717.024693877551,5.0,11806.826,11980.188,34542.87,43760.63,130931.53,268869.72,270426.57,169480.36,74075.32,61305.22,43838.42,47139.37,169636.63,211658.91,161088.48,103331.71,75782.37,83524.29,1053392.22,896000.18
역삼1동,11680640,18.94,20.55,13,4.0,15451.0,583.0,5343.0,0.0,366.0,11995.0,50.0,158547.0,1.0,40,824.3097500000001,699.3774999999999,6.0,29174.29,29461.46833333333,21512.34,58053.33,237591.87,343711.26,276607.06,161416.33,75997.31,50276.42,18776.68,57637.39,324678.23,304398.16,174132.72,107620.47,75427.97,62305.4,1225165.92,1124977.02
역삼2동,11680650,12.19,14.35,8,22.0,3775.0,108.0,463.0,0.0,80.0,11862.0,15.0,104273.0,4.0,26,540.9607692307693,456.0723076923078,0.0,0.0,0.0,46037.64,74259.23,75982.87,114343.32,143118.24,87925.2,37720.81,30267.84,40932.66,81588.02,105331.82,120586.87,135201.09,69782.18,46626.3,44618.36,609655.1499999999,644667.3
